,0
loading.Global.1->pim_industria_extrativa,-0.061620363508527475
loading.Global.2->pim_industria_extrativa,0.0357581583930172
loading.Output->pim_industria_extrativa,0.13890250820493602
loading.Global.1->pim_industria_transformacao,-0.14147985070782682
loading.Global.2->pim_industria_transformacao,-0.055987835331597735
loading.Output->pim_industria_transformacao,0.16475057223696218
loading.Global.1->pim_bens_capital,-0.1372183755940544
loading.Global.2->pim_bens_capital,-0.07535618249815115
loading.Output->pim_bens_capital,0.05414059252686973
loading.Global.1->pim_bens_intermediarios,-0.13200429568117722
loading.Global.2->pim_bens_intermediarios,-0.055113676235911305
loading.Output->pim_bens_intermediarios,0.17752574098518162
loading.Global.1->pim_bens_consumo,-0.12352000285774171
loading.Global.2->pim_bens_consumo,-0.002583683821732036
loading.Output->pim_bens_consumo,0.1890657662101092
loading.Global.1->pim_bens_duraveis,-0.11777394291568828
loading.Global.2->pim_bens_duraveis,-0.021832591930975528
loading.Output->pim_bens_duraveis,0.19702267803990345
loading.Global.1->pim_bens_semi_e_nao_duraveis,-0.11498476770978075
loading.Global.2->pim_bens_semi_e_nao_duraveis,0.008515378856185729
loading.Output->pim_bens_semi_e_nao_duraveis,0.146703924659348
loading.Global.1->pim_insumo_constr_civil,-0.12553824494047344
loading.Global.2->pim_insumo_constr_civil,-0.0941916825966281
loading.Output->pim_insumo_constr_civil,0.11193111441652345
loading.Global.1->cons_energ_comercial,-0.09146728413213878
loading.Global.2->cons_energ_comercial,0.0492043681220095
loading.Output->cons_energ_comercial,-0.11479390934139154
loading.Global.1->cons_energ_residencial,-0.05600807096460526
loading.Global.2->cons_energ_residencial,0.02596801009105194
loading.Output->cons_energ_residencial,0.03211395789145012
loading.Global.1->cons_energ_industrial,-0.12627049496682488
loading.Global.2->cons_energ_industrial,-0.055618123590144224
loading.Output->cons_energ_industrial,0.11213015474025799
loading.Global.1->cons_energ_outros,-0.05922447229430066
loading.Global.2->cons_energ_outros,0.012733873197340836
loading.Output->cons_energ_outros,-0.018770321717226514
loading.Global.1->pmc_combustiveis,-0.08962358680699718
loading.Global.2->pmc_combustiveis,0.04239668719423098
loading.Output->pmc_combustiveis,-0.03494503920593491
loading.Global.1->pmc_hiper_supermercados,-0.06830212902931437
loading.Global.2->pmc_hiper_supermercados,0.06610024596885675
loading.Output->pmc_hiper_supermercados,0.017754400247313104
loading.Global.1->pmc_vestuário,-0.12067221538395023
loading.Global.2->pmc_vestuário,-0.015277125560736985
loading.Output->pmc_vestuário,5.097080801247783e-05
loading.Global.1->pmc_moveis_eletrodomesticos,-0.1031671909319514
loading.Global.2->pmc_moveis_eletrodomesticos,0.023247721837502528
loading.Output->pmc_moveis_eletrodomesticos,0.10714566966332825
loading.Global.1->pmc_automoveis,-0.1345735927520529
loading.Global.2->pmc_automoveis,-0.022986857302774673
loading.Output->pmc_automoveis,0.0024593354149356934
loading.Global.1->pmc_farmaceuticos,-0.09040452984469474
loading.Global.2->pmc_farmaceuticos,-0.007679223088550434
loading.Output->pmc_farmaceuticos,-0.10888919054739357
loading.Global.1->pmc_livros_jornais,-0.08671432597430491
loading.Global.2->pmc_livros_jornais,0.08274231865993165
loading.Output->pmc_livros_jornais,-0.032832997508275494
loading.Global.1->pmc_eqp_material_escritorio,-0.09395603999282726
loading.Global.2->pmc_eqp_material_escritorio,0.07944343565726779
loading.Output->pmc_eqp_material_escritorio,0.008822122495650436
loading.Global.1->pmc_outros_pessoal,-0.09730449561679924
loading.Global.2->pmc_outros_pessoal,-0.03134798796189721
loading.Output->pmc_outros_pessoal,-0.03321187217128825
loading.Global.1->pmc_material_construcao,-0.09888434035192431
loading.Global.2->pmc_material_construcao,-0.08375598579709069
loading.Output->pmc_material_construcao,0.08201287230710197
loading.Global.1->pmc_comercio_ampliado,-0.14259222112106115
loading.Global.2->pmc_comercio_ampliado,-0.003036017223498779
loading.Output->pmc_comercio_ampliado,0.022563307919839386
loading.Global.1->ibcbr_agro,-0.03140851763797373
loading.Global.2->ibcbr_agro,0.00822320358320643
loading.Output->ibcbr_agro,0.11937718060557971
loading.Global.1->ibcbr_ind,-0.14339763364981736
loading.Global.2->ibcbr_ind,-0.0296234545774781
loading.Output->ibcbr_ind,0.14598975032669273
loading.Global.1->ibcbr_servicos,-0.15680996871875943
loading.Global.2->ibcbr_servicos,0.03446242793945664
loading.Output->ibcbr_servicos,-0.008661827888608592
loading.Global.1->icc_fecomercio,-0.06598003528547952
loading.Global.2->icc_fecomercio,0.01923374808029225
loading.Sentiment->icc_fecomercio,-0.38178803942485495
loading.Global.1->icea_fecomercio,-0.09598849352161887
loading.Global.2->icea_fecomercio,0.054750521327964444
loading.Sentiment->icea_fecomercio,-0.2904448177095778
loading.Global.1->ief_fecomercio,-0.01359065765324545
loading.Global.2->ief_fecomercio,-0.011747715132575751
loading.Sentiment->ief_fecomercio,-0.3235994663108593
loading.Global.1->ics_fgv,-0.08388441483361725
loading.Global.2->ics_fgv,-0.05970723836253104
loading.Sentiment->ics_fgv,-0.35922574393561935
loading.Global.1->isas_fgv,-0.10310402335105841
loading.Global.2->isas_fgv,-0.04574977868993329
loading.Sentiment->isas_fgv,-0.27212469068909156
loading.Global.1->ies_fgv,-0.060364291761182035
loading.Global.2->ies_fgv,-0.07162127677832054
loading.Sentiment->ies_fgv,-0.3901091588171701
loading.Global.1->caged_estoque_agro,-0.0754210806657138
loading.Global.2->caged_estoque_agro,-0.009051441726960268
loading.Employment->caged_estoque_agro,-0.17132172859819703
loading.Global.1->caged_estoque_ind_extrativa,-0.1235012545162906
loading.Global.2->caged_estoque_ind_extrativa,0.08486723663197164
loading.Employment->caged_estoque_ind_extrativa,-0.10274293540897785
loading.Global.1->caged_estoque_ind_transformacao,-0.14553250920763666
loading.Global.2->caged_estoque_ind_transformacao,0.03628992383703067
loading.Employment->caged_estoque_ind_transformacao,-0.10774253407577979
loading.Global.1->caged_estoque_SIUP,-0.1152465275347506
loading.Global.2->caged_estoque_SIUP,0.09198337522889441
loading.Employment->caged_estoque_SIUP,-0.10401415742905046
loading.Global.1->caged_estoque_EG,-0.022708131368073148
loading.Global.2->caged_estoque_EG,0.06068721376163032
