variable;code;factors;frequency;seas_adj;deflate;source;transformation_id
ind_extrativa;28504;['Global', 'Output'];Monthly;1;;sgs;1
ind_transformacao;28505;['Global', 'Output'];Monthly;1;;sgs;1
ind_bens_capital;28506;['Global', 'Output'];Monthly;1;;sgs;1
ind_bens_intermediarios;28507;['Global', 'Output'];Monthly;1;;sgs;1
ind_bens_consumo;28508;['Global', 'Output'];Monthly;1;;sgs;1
ind_construcao;28511;['Global', 'Output'];Monthly;1;;sgs;1
cons_energ_comercial;1402;['Global', 'Output'];Monthly;0;;sgs;1
cons_energ_industrial;1404;['Global', 'Output'];Monthly;0;;sgs;1
pmc_ampliada;28485;['Global', 'Output'];Monthly;1;;sgs;1
ibcbr_agro;29602;['Global', 'Output'];Monthly;1;;sgs;1
ibcbr_ind;29604;['Global', 'Output'];Monthly;1;;sgs;1
ibcbr_servicos;29606;['Global', 'Output'];Monthly;1;;sgs;1
icc_fecomercio;4393;['Global', 'Sentiment'];Monthly;0;;sgs;1
icea_fecomercio;4394;['Global', 'Sentiment'];Monthly;0;;sgs;1
ief_fecomercio;4395;['Global', 'Sentiment'];Monthly;0;;sgs;0
ics_fgv;20339;['Global', 'Sentiment'];Monthly;1;;sgs;1
isas_fgv;20340;['Global', 'Sentiment'];Monthly;1;;sgs;1
ies_fgv;20341;['Global', 'Sentiment'];Monthly;1;;sgs;1
caged_estoque;28784;['Global', 'Employment'];Monthly;1;;sgs;1
renda_media;24399;['Global', 'Employment'];Monthly;1;1.0;sgs;1
tx_desemprego;24369;['Global', 'Employment'];Monthly;0;;sgs;9
ipca_12m;13522;['Global', 'Prices'];Monthly;0;;sgs;0
ipca15;7478;['Global', 'Prices'];Monthly;0;;sgs;0
igpm;189;['Global', 'Prices'];Monthly;0;;sgs;0
igpdi;190;['Global', 'Prices'];Monthly;0;;sgs;0
incc;192;['Global', 'Prices'];Monthly;0;;sgs;0
ipam;7450;['Global', 'Prices'];Monthly;0;;sgs;0
pib;;['Global', 'Output'];Quaterly;1;1.0;sidra;13
