variable;code;factors;frequency;seas_adj;deflate;source;transformation_id
pim_industria_extrativa;28504;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_industria_transformacao;28505;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_bens_capital;28506;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_bens_intermediarios;28507;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_bens_consumo;28508;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_bens_duraveis;28509;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_bens_semi_e_nao_duraveis;28510;['Global', 'Output'];Monthly;1;N/A;sgs;3
pim_insumo_constr_civil;28511;['Global', 'Output'];Monthly;1;N/A;sgs;3
cons_energ_comercial;1402;['Global', 'Output'];Monthly;0;N/A;sgs;3
cons_energ_residencial;1403;['Global', 'Output'];Monthly;0;N/A;sgs;3
cons_energ_industrial;1404;['Global', 'Output'];Monthly;0;N/A;sgs;3
cons_energ_outros;1405;['Global', 'Output'];Monthly;0;N/A;sgs;3
pmc_combustiveis;28474;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_hiper_supermercados;28476;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_vestuário;28477;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_moveis_eletrodomesticos;28478;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_automoveis;28479;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_farmaceuticos;28480;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_livros_jornais;28481;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_eqp_material_escritorio;28482;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_outros_pessoal;28483;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_material_construcao;28484;['Global', 'Output'];Monthly;1;N/A;sgs;3
pmc_comercio_ampliado;28485;['Global', 'Output'];Monthly;1;N/A;sgs;3
ibcbr_agro;29602;['Global', 'Output'];Monthly;1;N/A;sgs;3
ibcbr_ind;29604;['Global', 'Output'];Monthly;1;N/A;sgs;3
ibcbr_servicos;29606;['Global', 'Output'];Monthly;1;N/A;sgs;3
icc_fecomercio;4393;['Global', 'Sentiment'];Monthly;0;N/A;sgs;3
icea_fecomercio;4394;['Global', 'Sentiment'];Monthly;0;N/A;sgs;3
