variable;frequency;pipeline_id;pipeline;n_steps;n_obs;n_stationary
abate_bois;Monthly;1;diff;1;362;4
abate_bovinos;Monthly;1;diff;1;362;4
abate_frangos;Monthly;1;diff;1;362;4
abate_novilhos;Monthly;1;diff;1;350;4
abate_suinos;Monthly;1;diff;1;362;3
abate_vacas;Monthly;1;diff;1;362;3
abcr_trafego_veiculos_pesados;Monthly;1;diff;1;327;4
abras;Monthly;1;diff;1;304;3
caged_estoque_AER;Monthly;1;diff;1;232;3
caged_estoque_EG;Monthly;1;diff;1;232;4
caged_estoque_SIUP;Monthly;9;sdiff12→diff;2;352;3
caged_estoque_agro;Monthly;1;diff;1;364;4
caged_estoque_comercio;Monthly;1;diff;1;364;3
caged_estoque_construcao;Monthly;1;diff;1;364;3
caged_estoque_ind_extrativa;Monthly;1;diff;1;364;4
caged_estoque_ind_transformacao;Monthly;1;diff;1;364;4
caged_estoque_servicos;Monthly;1;diff;1;364;4
cni_horas_trabalhadas;Monthly;1;diff;1;279;4
cni_massa_salarial;Monthly;1;diff;1;243;3
cni_nuci_transformacao;Monthly;1;diff;1;279;4
cni_salario_industria;Monthly;1;diff;1;243;4
cni_vendas_industriais;Monthly;1;diff;1;278;4
concessoes_PF_total;Monthly;1;diff;1;182;4
concessoes_PJ_total;Monthly;1;diff;1;182;4
concessoes_direcionados_PF_total;Monthly;1;diff;1;182;4
concessoes_direcionados_PJ_total;Monthly;1;diff;1;182;4
concessoes_direcionados_credito_rural;Monthly;1;diff;1;182;3
concessoes_livres_PF_aquisicao_veiculos;Monthly;1;diff;1;182;4
concessoes_livres_PF_cartao_credito_avista;Monthly;1;diff;1;182;4
concessoes_livres_PF_nao_rotativo;Monthly;1;diff;1;182;4
concessoes_livres_PF_total;Monthly;1;diff;1;182;4
concessoes_livres_PJ_capital_giro;Monthly;1;diff;1;182;4
concessoes_livres_PJ_nao_rotativo;Monthly;1;diff;1;182;4
concessoes_livres_PJ_total;Monthly;1;diff;1;182;4
cons_energ_comercial;Monthly;1;diff;1;364;3
cons_energ_industrial;Monthly;1;diff;1;364;4
cons_energ_outros;Monthly;1;diff;1;364;3
cons_energ_residencial;Monthly;1;diff;1;364;3
consumo_GLP;Monthly;1;diff;1;363;3
consumo_alcool_anidro;Monthly;1;diff;1;363;4
consumo_alcool_hidratado;Monthly;1;diff;1;363;4
consumo_demais_derivados;Monthly;1;diff;1;363;4
consumo_diesel;Monthly;1;diff;1;363;3
consumo_gasolina;Monthly;1;diff;1;363;4
consumo_oleo_combustivel;Monthly;1;diff;1;363;3
desembolso_BNDES_agro;Monthly;1;diff;1;362;4
desembolso_BNDES_comercio_servicos;Monthly;1;diff;1;362;4
desembolso_BNDES_ind_extrativa;Monthly;1;diff;1;362;4
desembolso_BNDES_ind_transformacao;Monthly;1;diff;1;362;4
fenabrave_automoveis;Monthly;1;diff;1;364;4
fenabrave_caminhoes;Monthly;1;diff;1;364;4
fenabrave_comerciais_leves;Monthly;1;diff;1;364;3
fenabrave_onibus;Monthly;1;diff;1;364;4
fgv_nuci;Monthly;0;nível;0;306;3
geracao_energ_eolica;Monthly;1;diff;1;243;4
geracao_energ_hidraulica;Monthly;1;diff;1;365;4
geracao_energ_solar;Monthly;1;diff;1;137;3
geracao_energ_termica;Monthly;1;diff;1;365;4
geracao_energ_termonuclear;Monthly;1;diff;1;365;3
ibcbr_agro;Monthly;1;diff;1;279;3
ibcbr_ind;Monthly;1;diff;1;279;4
ibcbr_servicos;Monthly;1;diff;1;279;4
icc_fecomercio;Monthly;1;diff;1;326;4
icc_fgv;Monthly;1;diff;1;191;4
icc_fgv_expectativas;Monthly;1;diff;1;191;4
icc_fgv_sit_atual;Monthly;1;diff;1;191;3
icea_fecomercio;Monthly;1;diff;1;326;4
ics_fgv;Monthly;1;diff;1;216;4
ief_fecomercio;Monthly;0;nível;0;327;3
ies_fgv;Monthly;1;diff;1;216;4
igp10;Monthly;0;nível;0;366;4
igpdi;Monthly;0;nível;0;366;4
igpm;Monthly;0;nível;0;366;4
incc;Monthly;0;nível;0;366;3
ipam;Monthly;0;nível;0;366;4
ipc_fipe;Monthly;0;nível;0;366;4
ipca15;Monthly;0;nível;0;314;4
ipca_DP;Monthly;0;nível;0;366;4
ipca_EX0;Monthly;0;nível;0;366;3
ipca_EX1;Monthly;0;nível;0;366;3
ipca_EX2;Monthly;0;nível;0;366;4
ipca_EX3;Monthly;0;nível;0;366;3
ipca_EXFE;Monthly;0;nível;0;366;3
ipca_MA;Monthly;0;nível;0;366;4
ipca_MS;Monthly;0;nível;0;366;3
ipca_P55;Monthly;0;nível;0;366;3
ipca_administrados;Monthly;0;nível;0;366;3
ipca_alim_domicilio;Monthly;0;nível;0;366;4
ipca_alimentacao;Monthly;0;nível;0;366;4
ipca_artigos_resid;Monthly;0;nível;0;366;4
ipca_comercializaveis;Monthly;0;nível;0;366;4
ipca_comunicacao;Monthly;1;diff;1;322;4
ipca_despesas_pess;Monthly;8;sdiff12;1;354;3
ipca_difusao;Monthly;0;nível;0;366;4
ipca_duraveis;Monthly;0;nível;0;366;4
ipca_educacao;Monthly;0;nível;0;323;3
ipca_habitacao;Monthly;0;nível;0;366;3
ipca_industriais;Monthly;0;nível;0;366;4
ipca_industriais_subjacentes;Monthly;0;nível;0;366;4
ipca_livres;Monthly;0;nível;0;366;4
ipca_nao_comercializaveis;Monthly;0;nível;0;366;3
ipca_nao_duraveis;Monthly;0;nível;0;366;4
ipca_saude;Monthly;0;nível;0;366;3
ipca_semi_duraveis;Monthly;0;nível;0;366;4
ipca_servicos;Monthly;0;nível;0;366;3
ipca_servicos_subjacentes;Monthly;0;nível;0;366;3
ipca_transportes;Monthly;0;nível;0;323;4
ipca_vestuario;Monthly;0;nível;0;366;4
ipcbr;Monthly;0;nível;0;366;4
isas_fgv;Monthly;1;diff;1;216;4
ivgr;Monthly;1;diff;1;301;3
mvgr;Monthly;1;diff;1;265;4
papelao_expedicao;Monthly;1;diff;1;364;4
pib;Quarterly;1;diff;1;120;3
pim_bens_capital;Monthly;1;diff;1;292;4
pim_bens_consumo;Monthly;1;diff;1;292;4
pim_bens_duraveis;Monthly;1;diff;1;292;4
pim_bens_intermediarios;Monthly;1;diff;1;292;4
pim_bens_semi_e_nao_duraveis;Monthly;1;diff;1;292;4
pim_industria_extrativa;Monthly;1;diff;1;292;4
