variable;frequency;tid_mensal;pipeline_mensal;votos_mensal;cv_var_mensal;iqr_mensal;steps_mensal;nobs_mensal;tid_anual;pipeline_anual;votos_anual;cv_var_anual;iqr_anual;steps_anual;nobs_anual
abate_bois;Monthly;1.0;diff;4.0;0.5701969415905608;0.7992674671001823;1.0;362.0;9;sdiff12→diff;4;0.6788254131159275;0.8761977707599323;2;350
abate_bovinos;Monthly;1.0;diff;4.0;0.6335050479869354;0.8684586830959056;1.0;362.0;9;sdiff12→diff;4;0.7420620383108516;0.7944553069112041;2;350
abate_frangos;Monthly;1.0;diff;4.0;0.8461537029256772;1.337915005411784;1.0;362.0;12;boxcox→sdiff12→diff;4;1.0053365164199104;2.0211909522511946;3;350
abate_novilhos;Monthly;5.0;boxcox→diff;4.0;0.5104731804157734;0.8028917648954105;2.0;350.0;14;mom_pct_annual_rate;4;0.5247704426340484;0.9763704743194059;1;350
abate_suinos;Monthly;3.0;log→diff;3.0;0.504838543488717;0.5518400928875532;3.0;362.0;9;sdiff12→diff;4;1.1464952221002922;1.2785915319428316;2;350
abate_vacas;Monthly;13.0;mom_pct;3.0;0.37945602873080014;0.6234117236877981;1.0;362.0;11;log→sdiff12→diff;4;0.4857540690081389;0.618928380343692;4;350
abcr_trafego_veiculos_pesados;Monthly;7.0;yeojohnson→diff;4.0;1.7787356491557778;1.8844996465880397;2.0;328.0;8;sdiff12;4;1.1186821075061635;2.410351577463365;1;317
abras;Monthly;7.0;yeojohnson→diff;4.0;0.8942343770881085;0.9839048559525809;2.0;304.0;14;mom_pct_annual_rate;3;0.5026041573183901;0.8994654833030409;1;304
caged_estoque_AER;Monthly;3.0;log→diff;3.0;0.5804370027929948;0.8278948376798076;3.0;232.0;9;sdiff12→diff;4;0.5255850663531103;0.5272618728279667;2;220
caged_estoque_EG;Monthly;13.0;mom_pct;4.0;0.8072730011752631;0.5996749383279023;1.0;232.0;9;sdiff12→diff;4;0.7186398049107802;0.7352003593091071;2;220
caged_estoque_SIUP;Monthly;;;;;;;;11;log→sdiff12→diff;3;0.5090239832521372;0.601664456896773;4;352
caged_estoque_agro;Monthly;1.0;diff;4.0;0.9361665116162589;1.774952137163291;1.0;364.0;9;sdiff12→diff;4;0.7657702307218979;1.761189923859303;2;352
caged_estoque_comercio;Monthly;5.0;boxcox→diff;3.0;2.7267886139403346;1.3771855874969545;2.0;364.0;11;log→sdiff12→diff;4;1.735150864735283;1.3258918246802252;4;352
caged_estoque_construcao;Monthly;13.0;mom_pct;3.0;1.1826299658750858;2.098692588448845;1.0;364.0;11;log→sdiff12→diff;4;1.0010050906165022;2.180111793564942;4;352
caged_estoque_ind_extrativa;Monthly;5.0;boxcox→diff;4.0;0.9086365182245861;1.5352691670031935;2.0;364.0;11;log→sdiff12→diff;4;0.8719349079330657;1.837394909833242;4;352
caged_estoque_ind_transformacao;Monthly;13.0;mom_pct;4.0;1.5656977596027566;1.4181552861328992;1.0;364.0;11;log→sdiff12→diff;4;1.3117042550752853;2.151700884044222;4;352
caged_estoque_servicos;Monthly;5.0;boxcox→diff;4.0;2.6657671511464542;1.3964587135715587;2.0;364.0;11;log→sdiff12→diff;4;2.0523401725513244;1.376499588849574;4;352
cni_horas_trabalhadas;Monthly;7.0;yeojohnson→diff;4.0;1.0294771565559921;1.2687818160632491;2.0;280.0;12;boxcox→sdiff12→diff;4;0.7778706045771966;1.0830437070038765;3;268
cni_massa_salarial;Monthly;1.0;diff;3.0;0.9585921540309333;1.2791589598520254;1.0;244.0;9;sdiff12→diff;3;0.830664125401213;0.8011800591207205;2;232
cni_nuci_transformacao;Monthly;7.0;yeojohnson→diff;4.0;0.6296892999791164;0.9251113723918036;2.0;280.0;12;boxcox→sdiff12→diff;4;0.6704404244558044;0.892384015877611;3;268
cni_salario_industria;Monthly;1.0;diff;4.0;0.9647012024788049;1.2791589598520254;1.0;244.0;9;sdiff12→diff;4;0.8353422537820424;0.8011800591207204;2;232
cni_vendas_industriais;Monthly;1.0;diff;4.0;1.1668927203515587;0.6922888209957067;1.0;279.0;14;mom_pct_annual_rate;4;1.3838301998659632;0.7153418760522832;1;279
concessoes_PF_total;Monthly;13.0;mom_pct;4.0;0.753586473580222;0.9686269744241653;1.0;182.0;11;log→sdiff12→diff;4;0.6314933073100382;0.7501114485266845;4;170
concessoes_PJ_total;Monthly;7.0;yeojohnson→diff;4.0;0.7458442488514625;1.3413107567105644;2.0;182.0;9;sdiff12→diff;4;0.5700611609759135;0.6923283947706337;2;170
concessoes_direcionados_PF_total;Monthly;13.0;mom_pct;4.0;0.3662463286589264;0.6052977317203303;1.0;182.0;14;mom_pct_annual_rate;4;0.3662463286589264;0.6052977317203303;1;182
concessoes_direcionados_PJ_total;Monthly;1.0;diff;4.0;0.8791377651104206;1.9378138043383535;1.0;182.0;15;yoy_pct_monthly;4;1.6516900697523387;1.516011619049991;1;171
concessoes_direcionados_credito_rural;Monthly;5.0;boxcox→diff;4.0;0.6384151186345876;0.44760193184479136;2.0;182.0;14;mom_pct_annual_rate;4;0.8146826068152083;2.6287340861942945;1;182
concessoes_livres_PF_aquisicao_de_bens_total;Monthly;7.0;yeojohnson→diff;4.0;0.5147654515910535;1.1057269192608692;2.0;182.0;14;mom_pct_annual_rate;4;0.7070835330855744;0.6064331649801519;1;182
concessoes_livres_PF_arrendamento_mercantil_total;Monthly;13.0;mom_pct;4.0;1.708061307194207;460.070141295246;1.0;182.0;15;yoy_pct_monthly;4;1.5154757920360278;503.6607812189097;1;171
concessoes_livres_PF_cartao_de_credito_total;Monthly;13.0;mom_pct;4.0;0.41117252476304805;0.811140203452674;1.0;182.0;14;mom_pct_annual_rate;4;0.41117252476304805;0.811140203452674;1;182
concessoes_livres_PF_cheque_especial;Monthly;3.0;log→diff;3.0;0.42412654116816534;0.6018952005820745;3.0;182.0;9;sdiff12→diff;3;0.43003170183827344;0.4955491041131326;2;170
concessoes_livres_PF_credito_pessoal_consignado_total;Monthly;1.0;diff;4.0;0.7213828695509904;1.6617691230171832;1.0;182.0;14;mom_pct_annual_rate;4;0.7819296620501368;1.2888677968711202;1;182
concessoes_livres_PF_credito_pessoal_nao_consignado_total;Monthly;5.0;boxcox→diff;4.0;0.5853300576586422;0.7189878363995876;2.0;182.0;12;boxcox→sdiff12→diff;4;0.5548253508857603;0.7343916455211856;3;170
