variable;tid_atual;cat_atual;pipeline_atual;tid_melhor_mensal;pipeline_melhor_mensal;tid_melhor_anual;pipeline_melhor_anual;atual_coincide
pim_industria_extrativa;3;Mensal;log→diff;13.0;mom_pct;9;sdiff12→diff;✗
pim_industria_transformacao;3;Mensal;log→diff;1.0;diff;8;sdiff12;✗
pim_bens_capital;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pim_bens_intermediarios;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pim_bens_consumo;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
pim_bens_duraveis;3;Mensal;log→diff;5.0;boxcox→diff;8;sdiff12;✗
pim_bens_semi_e_nao_duraveis;3;Mensal;log→diff;7.0;yeojohnson→diff;8;sdiff12;✗
pim_insumo_constr_civil;3;Mensal;log→diff;1.0;diff;14;mom_pct_annual_rate;✗
cons_energ_comercial;3;Mensal;log→diff;13.0;mom_pct;12;boxcox→sdiff12→diff;✗
cons_energ_residencial;3;Mensal;log→diff;13.0;mom_pct;8;sdiff12;✗
cons_energ_industrial;3;Mensal;log→diff;13.0;mom_pct;9;sdiff12→diff;✗
cons_energ_outros;3;Mensal;log→diff;13.0;mom_pct;8;sdiff12;✗
pmc_combustiveis;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pmc_hiper_supermercados;3;Mensal;log→diff;3.0;log→diff;11;log→sdiff12→diff;✓
pmc_vestuário;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
pmc_moveis_eletrodomesticos;3;Mensal;log→diff;3.0;log→diff;8;sdiff12;✓
pmc_automoveis;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pmc_farmaceuticos;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
pmc_livros_jornais;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pmc_eqp_material_escritorio;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pmc_outros_pessoal;3;Mensal;log→diff;1.0;diff;8;sdiff12;✗
pmc_material_construcao;3;Mensal;log→diff;3.0;log→diff;11;log→sdiff12→diff;✓
pmc_comercio_ampliado;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
ibcbr_agro;3;Mensal;log→diff;13.0;mom_pct;10;log→sdiff12;✗
ibcbr_ind;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
ibcbr_servicos;3;Mensal;log→diff;13.0;mom_pct;12;boxcox→sdiff12→diff;✗
icc_fecomercio;3;Mensal;log→diff;1.0;diff;14;mom_pct_annual_rate;✗
icea_fecomercio;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
ief_fecomercio;0;Mensal;nível;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
ics_fgv;3;Mensal;log→diff;1.0;diff;8;sdiff12;✗
isas_fgv;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
ies_fgv;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
caged_estoque_agro;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
caged_estoque_ind_extrativa;3;Mensal;log→diff;5.0;boxcox→diff;11;log→sdiff12→diff;✗
caged_estoque_ind_transformacao;3;Mensal;log→diff;13.0;mom_pct;11;log→sdiff12→diff;✗
caged_estoque_SIUP;3;Mensal;log→diff;;;11;log→sdiff12→diff;✗
caged_estoque_EG;3;Mensal;log→diff;13.0;mom_pct;9;sdiff12→diff;✗
caged_estoque_AER;3;Mensal;log→diff;3.0;log→diff;9;sdiff12→diff;✓
caged_estoque_construcao;3;Mensal;log→diff;13.0;mom_pct;11;log→sdiff12→diff;✗
caged_estoque_comercio;3;Mensal;log→diff;5.0;boxcox→diff;11;log→sdiff12→diff;✗
caged_estoque_servicos;3;Mensal;log→diff;5.0;boxcox→diff;11;log→sdiff12→diff;✗
pnadc_salario_real_efetivo;3;Mensal;log→diff;;;8;sdiff12;✗
pnadc_salario_real_com_carteira;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
pnadc_salario_real_sem_carteira;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
pnadc_salario_real_setor_privado;3;Mensal;log→diff;13.0;mom_pct;9;sdiff12→diff;✗
pnadc_salario_real_setor_publico;3;Mensal;log→diff;1.0;diff;12;boxcox→sdiff12→diff;✗
pnadc_salario_real_conta_propria;3;Mensal;log→diff;13.0;mom_pct;9;sdiff12→diff;✗
pnadc_salario_real_empregadores;3;Mensal;log→diff;1.0;diff;14;mom_pct_annual_rate;✗
pnadc_massa_salarial_efetiva;13;Mensal;mom_pct;;;15;yoy_pct_monthly;✗
pnadc_massa_salarial_habitual;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
renda_disponivel_familias_restrita;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
tx_desemprego;3;Mensal;log→diff;3.0;log→diff;11;log→sdiff12→diff;✓
ipca_alimentacao;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_habitacao;0;Mensal;nível;1.0;diff;9;sdiff12→diff;✗
ipca_artigos_resid;0;Mensal;nível;1.0;diff;9;sdiff12→diff;✗
ipca_vestuario;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_transportes;0;Mensal;nível;7.0;yeojohnson→diff;8;sdiff12;✗
ipca_saude;0;Mensal;nível;13.0;mom_pct;15;yoy_pct_monthly;✗
ipca_despesas_pess;0;Mensal;nível;13.0;mom_pct;14;mom_pct_annual_rate;✗
ipca_educacao;0;Mensal;nível;13.0;mom_pct;15;yoy_pct_monthly;✗
ipca_comunicacao;0;Mensal;nível;7.0;yeojohnson→diff;8;sdiff12;✗
ipca_alim_domicilio;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_industriais;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_servicos;0;Mensal;nível;13.0;mom_pct;14;mom_pct_annual_rate;✗
ipca_administrados;0;Mensal;nível;13.0;mom_pct;14;mom_pct_annual_rate;✗
ipca_livres;0;Mensal;nível;0.0;nível;8;sdiff12;✓
ipca_nao_duraveis;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_semi_duraveis;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_duraveis;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_comercializaveis;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipca_nao_comercializaveis;0;Mensal;nível;1.0;diff;15;yoy_pct_monthly;✗
ipca_EX0;0;Mensal;nível;7.0;yeojohnson→diff;9;sdiff12→diff;✗
ipca_EX1;0;Mensal;nível;1.0;diff;14;mom_pct_annual_rate;✗
ipca_EX2;0;Mensal;nível;7.0;yeojohnson→diff;8;sdiff12;✗
ipca_EX3;0;Mensal;nível;13.0;mom_pct;15;yoy_pct_monthly;✗
ipca_MA;0;Mensal;nível;6.0;yeojohnson;14;mom_pct_annual_rate;✗
ipca_MS;0;Mensal;nível;13.0;mom_pct;15;yoy_pct_monthly;✗
ipca_DP;0;Mensal;nível;1.0;diff;8;sdiff12;✗
ipca_EXFE;0;Mensal;nível;7.0;yeojohnson→diff;15;yoy_pct_monthly;✗
ipca_P55;0;Mensal;nível;7.0;yeojohnson→diff;9;sdiff12→diff;✗
ipca_difusao;0;Mensal;nível;1.0;diff;9;sdiff12→diff;✗
ipca_industriais_subjacentes;0;Mensal;nível;0.0;nível;8;sdiff12;✓
ipca_servicos_subjacentes;0;Mensal;nível;1.0;diff;14;mom_pct_annual_rate;✗
ipca15;0;Mensal;nível;1.0;diff;9;sdiff12→diff;✗
igpm;0;Mensal;nível;7.0;yeojohnson→diff;8;sdiff12;✗
igpdi;0;Mensal;nível;6.0;yeojohnson;9;sdiff12→diff;✗
ipcbr;0;Mensal;nível;1.0;diff;8;sdiff12;✗
incc;0;Mensal;nível;13.0;mom_pct;14;mom_pct_annual_rate;✗
ipc_fipe;0;Mensal;nível;0.0;nível;9;sdiff12→diff;✓
igp10;0;Mensal;nível;6.0;yeojohnson;8;sdiff12;✗
ipam;0;Mensal;nível;7.0;yeojohnson→diff;8;sdiff12;✗
abras;3;Mensal;log→diff;7.0;yeojohnson→diff;14;mom_pct_annual_rate;✗
prod_total_autoveiculos;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
vendas_total_autoveiculos;3;Mensal;log→diff;5.0;boxcox→diff;10;log→sdiff12;✗
vendas_autoveiculos_interno;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
vendas_autoveiculos_externo;3;Mensal;log→diff;1.0;diff;8;sdiff12;✗
prod_automoveis_e_comerciais_leves;13;Mensal;mom_pct;1.0;diff;9;sdiff12→diff;✗
prod_caminhoes;3;Mensal;log→diff;7.0;yeojohnson→diff;8;sdiff12;✗
prod_onibus;3;Mensal;log→diff;7.0;yeojohnson→diff;8;sdiff12;✗
prod_oleo_bruto;3;Mensal;log→diff;3.0;log→diff;11;log→sdiff12→diff;✓
prod_LGN;3;Mensal;log→diff;3.0;log→diff;14;mom_pct_annual_rate;✓
prod_gas_natural;3;Mensal;log→diff;5.0;boxcox→diff;14;mom_pct_annual_rate;✗
consumo_gasolina;3;Mensal;log→diff;1.0;diff;8;sdiff12;✗
consumo_GLP;3;Mensal;log→diff;3.0;log→diff;15;yoy_pct_monthly;✓
consumo_oleo_combustivel;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
consumo_diesel;3;Mensal;log→diff;3.0;log→diff;10;log→sdiff12;✓
consumo_demais_derivados;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
consumo_alcool_hidratado;3;Mensal;log→diff;3.0;log→diff;15;yoy_pct_monthly;✓
consumo_alcool_anidro;3;Mensal;log→diff;13.0;mom_pct;11;log→sdiff12→diff;✗
prod_aco_bruto;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
desembolso_BNDES_ind_transformacao;13;Mensal;mom_pct;7.0;yeojohnson→diff;8;sdiff12;✗
desembolso_BNDES_comercio_servicos;13;Mensal;mom_pct;1.0;diff;8;sdiff12;✗
desembolso_BNDES_agro;3;Mensal;log→diff;3.0;log→diff;11;log→sdiff12→diff;✓
desembolso_BNDES_ind_extrativa;13;Mensal;mom_pct;1.0;diff;9;sdiff12→diff;✗
cni_nuci_transformacao;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
cni_vendas_industriais;3;Mensal;log→diff;1.0;diff;14;mom_pct_annual_rate;✗
cni_horas_trabalhadas;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
cni_salario_industria;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
cni_massa_salarial;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
fenabrave_automoveis;3;Mensal;log→diff;7.0;yeojohnson→diff;14;mom_pct_annual_rate;✗
fenabrave_comerciais_leves;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
fenabrave_caminhoes;3;Mensal;log→diff;5.0;boxcox→diff;10;log→sdiff12;✗
fenabrave_onibus;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
fgv_nuci;0;Mensal;nível;1.0;diff;8;sdiff12;✗
concessoes_PJ_total;3;Mensal;log→diff;7.0;yeojohnson→diff;9;sdiff12→diff;✗
concessoes_PF_total;3;Mensal;log→diff;13.0;mom_pct;11;log→sdiff12→diff;✗
concessoes_livres_PJ_total;3;Mensal;log→diff;13.0;mom_pct;11;log→sdiff12→diff;✗
concessoes_livres_PJ_capital_giro;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
concessoes_livres_PF_total;3;Mensal;log→diff;13.0;mom_pct;9;sdiff12→diff;✗
concessoes_direcionados_PJ_total;3;Mensal;log→diff;1.0;diff;15;yoy_pct_monthly;✗
concessoes_direcionados_PF_total;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
concessoes_direcionados_credito_rural;3;Mensal;log→diff;5.0;boxcox→diff;14;mom_pct_annual_rate;✗
tjlp;1;Mensal;diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
selic_mensal;1;Mensal;diff;3.0;log→diff;10;log→sdiff12;✗
abcr_trafego_veiculos_pesados;3;Mensal;log→diff;7.0;yeojohnson→diff;8;sdiff12;✗
ivgr;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
mvgr;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
abate_bois;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
abate_bovinos;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
abate_frangos;3;Mensal;log→diff;1.0;diff;12;boxcox→sdiff12→diff;✗
abate_suinos;3;Mensal;log→diff;3.0;log→diff;9;sdiff12→diff;✓
abate_vacas;3;Mensal;log→diff;13.0;mom_pct;11;log→sdiff12→diff;✗
abate_novilhos;3;Mensal;log→diff;5.0;boxcox→diff;14;mom_pct_annual_rate;✗
geracao_energ_hidraulica;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
geracao_energ_termica;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
geracao_energ_termonuclear;13;Mensal;mom_pct;7.0;yeojohnson→diff;8;sdiff12;✗
geracao_energ_eolica;13;Mensal;mom_pct;1.0;diff;9;sdiff12→diff;✗
geracao_energ_solar;13;Mensal;mom_pct;13.0;mom_pct;9;sdiff12→diff;✓
papelao_expedicao;3;Mensal;log→diff;3.0;log→diff;8;sdiff12;✓
prod_fertilizante;3;Mensal;log→diff;5.0;boxcox→diff;15;yoy_pct_monthly;✗
icc_fgv;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
icc_fgv_sit_atual;3;Mensal;log→diff;13.0;mom_pct;12;boxcox→sdiff12→diff;✗
icc_fgv_expectativas;3;Mensal;log→diff;1.0;diff;12;boxcox→sdiff12→diff;✗
pib;22;Anual;qoq_annualized;3.0;log→diff;21;log→sdiff4→diff;✗
inadimplencia_livres_total;1;Mensal;diff;1.0;diff;9;sdiff12→diff;✓
inadimplencia_livres_PJ_total;1;Mensal;diff;13.0;mom_pct;11;log→sdiff12→diff;✗
inadimplencia_livres_PJ_desconto_de_duplicatas_e_recebiveis;1;Mensal;diff;3.0;log→diff;11;log→sdiff12→diff;✗
inadimplencia_livres_PJ_capital_de_giro_total;1;Mensal;diff;5.0;boxcox→diff;11;log→sdiff12→diff;✗
inadimplencia_livres_PJ_aquisicao_de_bens_total;1;Mensal;diff;3.0;log→diff;12;boxcox→sdiff12→diff;✗
