variable;frequency;pipeline_id;pipeline;n_steps;n_obs;ADF;KPSS;Phillips-Perron;DFGLS;n_stationary;is_stationary;applicable
pim_industria_extrativa;Monthly;0;nível;0;293;True;False;False;False;1;False;True
pim_industria_extrativa;Monthly;1;diff;1;292;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;2;log;1;293;True;False;False;False;1;False;True
pim_industria_extrativa;Monthly;3;log→diff;3;292;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;4;boxcox;1;293;False;False;False;False;0;False;True
pim_industria_extrativa;Monthly;5;boxcox→diff;2;292;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;6;yeojohnson;1;293;False;False;False;False;0;False;True
pim_industria_extrativa;Monthly;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;8;sdiff12;1;281;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;9;sdiff12→diff;2;280;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;10;log→sdiff12;3;281;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;13;mom_pct;1;292;True;True;True;True;4;True;True
pim_industria_extrativa;Monthly;14;yoy_pct_monthly;1;281;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;0;nível;0;293;False;False;False;False;0;False;True
pim_industria_transformacao;Monthly;1;diff;1;292;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;2;log;1;293;True;False;False;False;1;False;True
pim_industria_transformacao;Monthly;3;log→diff;3;292;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;4;boxcox;1;293;True;False;False;False;1;False;True
pim_industria_transformacao;Monthly;5;boxcox→diff;2;292;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;6;yeojohnson;1;293;True;False;False;False;1;False;True
pim_industria_transformacao;Monthly;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;8;sdiff12;1;281;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;9;sdiff12→diff;2;280;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;10;log→sdiff12;3;281;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;13;mom_pct;1;292;True;True;True;True;4;True;True
pim_industria_transformacao;Monthly;14;yoy_pct_monthly;1;281;True;True;True;True;4;True;True
pim_bens_capital;Monthly;0;nível;0;293;False;True;False;False;1;False;True
pim_bens_capital;Monthly;1;diff;1;292;True;True;True;True;4;True;True
pim_bens_capital;Monthly;2;log;1;293;False;True;False;False;1;False;True
pim_bens_capital;Monthly;3;log→diff;3;292;True;True;True;True;4;True;True
pim_bens_capital;Monthly;4;boxcox;1;293;False;True;False;False;1;False;True
pim_bens_capital;Monthly;5;boxcox→diff;2;292;True;True;True;True;4;True;True
pim_bens_capital;Monthly;6;yeojohnson;1;293;False;True;False;False;1;False;True
pim_bens_capital;Monthly;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True
pim_bens_capital;Monthly;8;sdiff12;1;281;True;True;True;True;4;True;True
pim_bens_capital;Monthly;9;sdiff12→diff;2;280;True;True;True;True;4;True;True
pim_bens_capital;Monthly;10;log→sdiff12;3;281;True;True;True;True;4;True;True
pim_bens_capital;Monthly;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True
pim_bens_capital;Monthly;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True
pim_bens_capital;Monthly;13;mom_pct;1;292;True;True;True;True;4;True;True
pim_bens_capital;Monthly;14;yoy_pct_monthly;1;281;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;0;nível;0;293;False;False;False;False;0;False;True
pim_bens_intermediarios;Monthly;1;diff;1;292;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;2;log;1;293;True;False;False;False;1;False;True
pim_bens_intermediarios;Monthly;3;log→diff;3;292;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;4;boxcox;1;293;True;False;False;False;1;False;True
pim_bens_intermediarios;Monthly;5;boxcox→diff;2;292;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;6;yeojohnson;1;293;True;False;False;False;1;False;True
pim_bens_intermediarios;Monthly;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;8;sdiff12;1;281;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;9;sdiff12→diff;2;280;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;10;log→sdiff12;3;281;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;13;mom_pct;1;292;True;True;True;True;4;True;True
pim_bens_intermediarios;Monthly;14;yoy_pct_monthly;1;281;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;0;nível;0;293;False;False;False;False;0;False;True
pim_bens_consumo;Monthly;1;diff;1;292;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;2;log;1;293;False;False;True;False;1;False;True
pim_bens_consumo;Monthly;3;log→diff;3;292;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;4;boxcox;1;293;False;False;False;False;0;False;True
pim_bens_consumo;Monthly;5;boxcox→diff;2;292;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;6;yeojohnson;1;293;False;False;False;False;0;False;True
pim_bens_consumo;Monthly;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;8;sdiff12;1;281;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;9;sdiff12→diff;2;280;True;True;True;False;3;True;True
pim_bens_consumo;Monthly;10;log→sdiff12;3;281;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;11;log→sdiff12→diff;4;280;True;True;True;False;3;True;True
pim_bens_consumo;Monthly;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;13;mom_pct;1;292;True;True;True;True;4;True;True
pim_bens_consumo;Monthly;14;yoy_pct_monthly;1;281;True;True;True;True;4;True;True
pim_bens_duraveis;Monthly;0;nível;0;293;False;False;True;False;1;False;True
pim_bens_duraveis;Monthly;1;diff;1;292;True;True;True;True;4;True;True
pim_bens_duraveis;Monthly;2;log;1;293;True;False;True;False;2;False;True
pim_bens_duraveis;Monthly;3;log→diff;3;292;True;True;True;True;4;True;True
pim_bens_duraveis;Monthly;4;boxcox;1;293;False;False;True;False;1;False;True
pim_bens_duraveis;Monthly;5;boxcox→diff;2;292;True;True;True;True;4;True;True
pim_bens_duraveis;Monthly;6;yeojohnson;1;293;False;False;True;False;1;False;True
pim_bens_duraveis;Monthly;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True
