Date,pim_industria_extrativa,pim_industria_transformacao,pim_bens_capital,pim_bens_intermediarios,pim_bens_consumo,pim_bens_duraveis,pim_bens_semi_e_nao_duraveis,pim_insumo_constr_civil,cons_energ_comercial,cons_energ_residencial,cons_energ_industrial,cons_energ_outros,pmc_combustiveis,pmc_hiper_supermercados,pmc_vestuário,pmc_moveis_eletrodomesticos,pmc_automoveis,pmc_farmaceuticos,pmc_livros_jornais,pmc_eqp_material_escritorio,pmc_outros_pessoal,pmc_material_construcao,pmc_comercio_ampliado,ibcbr_agro,ibcbr_ind,ibcbr_servicos,icc_fecomercio,icea_fecomercio,ief_fecomercio,ics_fgv,isas_fgv,ies_fgv,caged_estoque_agro,caged_estoque_ind_extrativa,caged_estoque_ind_transformacao,caged_estoque_SIUP,caged_estoque_EG,caged_estoque_AER,caged_estoque_construcao,caged_estoque_comercio,caged_estoque_servicos,pnadc_salario_real_efetivo,pnadc_salario_real_com_carteira,pnadc_salario_real_sem_carteira,pnadc_salario_real_setor_privado,pnadc_salario_real_setor_publico,pnadc_salario_real_conta_propria,pnadc_salario_real_empregadores,pnadc_massa_salarial_efetiva,pnadc_massa_salarial_habitual,renda_disponivel_familias_restrita,tx_desemprego,ipca_alimentacao,ipca_habitacao,ipca_artigos_resid,ipca_vestuario,ipca_transportes,ipca_saude,ipca_despesas_pess,ipca_educacao,ipca_comunicacao,ipca_alim_domicilio,ipca_industriais,ipca_servicos,ipca_administrados,ipca_livres,ipca_nao_duraveis,ipca_semi_duraveis,ipca_duraveis,ipca_comercializaveis,ipca_nao_comercializaveis,ipca_EX0,ipca_EX1,ipca_EX2,ipca_EX3,ipca_MA,ipca_MS,ipca_DP,ipca_EXFE,ipca_P55,ipca_difusao,ipca_industriais_subjacentes,ipca_servicos_subjacentes,ipca15,igpm,igpdi,ipcbr,incc,ipc_fipe,igp10,ipam,abras,prod_total_autoveiculos,vendas_total_autoveiculos,vendas_autoveiculos_interno,vendas_autoveiculos_externo,prod_automoveis_e_comerciais_leves,prod_caminhoes,prod_onibus,prod_oleo_bruto,prod_LGN,prod_gas_natural,consumo_gasolina,consumo_GLP,consumo_oleo_combustivel,consumo_diesel,consumo_demais_derivados,consumo_alcool_hidratado,consumo_alcool_anidro,prod_aco_bruto,desembolso_BNDES_ind_transformacao,desembolso_BNDES_comercio_servicos,desembolso_BNDES_agro,desembolso_BNDES_ind_extrativa,cni_nuci_transformacao,cni_vendas_industriais,cni_horas_trabalhadas,cni_salario_industria,cni_massa_salarial,fenabrave_automoveis,fenabrave_comerciais_leves,fenabrave_caminhoes,fenabrave_onibus,fgv_nuci,concessoes_PJ_total,concessoes_PF_total,concessoes_livres_PJ_total,concessoes_livres_PJ_capital_giro,concessoes_livres_PF_total,concessoes_direcionados_PJ_total,concessoes_direcionados_PF_total,concessoes_direcionados_credito_rural,selic_mensal,abcr_trafego_veiculos_pesados,inadimplencia_livres_total,inadimplencia_livres_PJ_total,inadimplencia_livres_PJ_desconto_de_duplicatas_e_recebiveis,inadimplencia_livres_PJ_capital_de_giro_total,inadimplencia_livres_PJ_aquisicao_de_bens_total,inadimplencia_livres_PJ_cartao_de_credito_total,inadimplencia_livres_PF_total,inadimplencia_livres_PF_cheque_especial,inadimplencia_livres_PF_credito_pessoal_nao_consignado_total,inadimplencia_livres_PF_credito_pessoal_consignado_total,inadimplencia_livres_PF_aquisicao_de_bens_total,inadimplencia_livres_PF_cartao_de_credito_total,concessoes_livres_total,concessoes_livres_PJ_desconto_de_duplicatas_e_recebveis,concessoes_livres_PJ_capital_de_giro_total,concessoes_livres_PJ_aquisicao_de_bens_total,concessoes_livres_PJ_cartao_de_credito_total,concessoes_livres_PF_cheque_especial,concessoes_livres_PF_credito_pessoal_nao_consignado_total,concessoes_livres_PF_credito_pessoal_consignado_total,concessoes_livres_PF_aquisicao_de_bens_total,concessoes_livres_PF_cartao_de_credito_total,icc_fgv_expectativas,icc_fgv,icc_fgv_sit_atual,papelao_expedicao,pib
1996-01-01,,,,,,,,,2951.0,5851.0,8753.0,3107.0,,,,,,,,,,,,,,,,,,,,,1255718.43,122568.35,5314207.68,437504.95,,,1290522.46,2998145.19,9101846.94,,,,,,,,,,,,1.28,2.16,0.61,-0.28,,2.08,2.15,,,1.64,0.87,1.85,0.59,1.45,1.7,0.13,1.17,0.58,2.37,1.4,1.35,1.25,1.3,1.18,1.51,1.24,1.42,1.19,70.27,0.88,1.62,,1.73,1.79,2.7,1.52,1.82,1.14,1.49,,,,,,96271.0,3552.0,1123.0,771.0,26.0,0.149,259.0,174.0,204.0,462.0,74.0,171.0,72.0,104.15,196.0,346.0,43.0,10.0,,,,,,92387.0,16487.0,3341.0,1396.0,,,,,,,,,,33.83,,,,,,,,,,,,,,,,,,,,,,,,,,,139712.790564986,
1996-02-01,,,,,,,,,3007.0,5742.0,9278.0,3066.0,,,,,,,,,,,,,,,,,,,,,1254574.5,122091.27,5286528.47,437699.46,,,1290332.17,2996206.16,9100903.78,,,,,,,,,,,,0.11,1.98,0.28,-3.28,,1.29,2.07,,,-0.2,-0.83,2.1,4.23,0.55,0.03,-2.39,0.44,-0.66,1.78,0.76,1.37,0.36,0.37,0.58,1.04,0.92,1.42,0.88,55.86,-1.2,1.58,,0.97,0.76,1.46,0.11,0.4,1.55,0.48,,,,,,115677.0,4434.0,1137.0,781.0,26.0,0.15,276.0,172.0,201.0,470.0,72.0,175.0,75.0,103.52,582.0,641.0,77.0,13.0,,,,,,105129.0,19698.0,3442.0,1288.0,,,,,,,,,,36.11,,,,,,,,,,,,,,,,,,,,,,,,,,,136276.789759633,
1996-03-01,,,,,,,,,2956.0,5845.0,9204.0,3022.0,,,,,,,,,,,,,,,,,,,,,1252389.92,121361.9,5251958.16,436295.42,,,1290237.7,2984062.6,9084812.24,,,,,,,,,,,,-0.02,1.96,0.0,-2.5,,1.19,0.33,,,-0.15,-0.58,1.4,0.24,0.37,0.13,-2.31,0.92,-0.58,1.31,0.51,0.49,0.31,0.3,0.54,1.07,0.45,0.5,0.6,55.56,-1.05,1.32,,0.4,0.22,0.43,0.98,0.23,0.41,0.13,,,,,,130533.0,4355.0,1131.0,753.0,25.0,0.15,280.0,170.0,195.0,515.0,70.0,179.0,75.0,100.61,1017.0,832.0,165.0,21.0,,,,,,107542.0,22331.0,4031.0,1340.0,,,,,,,,,,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,149212.395700657,99.41
1996-04-01,,,,,,,,,3041.0,5876.0,9539.0,3090.0,,,,,,,,,,,,,,,,,,,,,1248609.48,120479.27,5236075.27,434853.05,,,1290762.53,2982884.83,9083179.87,,,,,,,,,,,,0.5,1.81,0.26,0.9,,0.82,0.43,,,0.68,0.61,1.14,3.87,0.85,0.56,0.7,0.76,0.43,1.27,0.9,0.8,0.87,0.91,0.7,1.25,1.15,0.84,0.74,57.06,0.59,1.14,,0.32,0.7,1.31,0.25,1.62,0.25,-0.05,,,,,,124332.0,4991.0,1375.0,772.0,22.0,0.153,265.0,190.0,204.0,512.0,71.0,167.0,74.0,97.68,1296.0,961.0,211.0,75.0,,,,,,103020.0,20512.0,3761.0,1700.0,,,,,,,,,,29.42,,,,,,,,,,,,,,,,,,,,,,,,,,,148611.40792343,
1996-05-01,,,,,,,,,2885.0,5676.0,9623.0,3022.0,,,,,,,,,,,,,,,,,,,,,1247977.27,120264.03,5232103.07,433599.3,,,1293356.01,2982874.02,9084663.9,,,,,,,,,,,,0.67,1.94,0.03,1.42,,1.03,2.57,,,0.91,0.98,1.85,0.44,1.34,1.11,1.05,0.28,1.04,1.64,1.46,1.32,1.07,1.12,0.91,1.28,0.95,1.36,0.89,54.95,0.61,1.48,,1.55,1.68,2.08,2.16,1.34,1.35,1.41,,,,,,136930.0,3835.0,1544.0,770.0,25.0,0.152,286.0,197.0,227.0,513.0,70.0,173.0,76.0,96.57,1655.0,1871.0,260.0,80.0,,,,,,118411.0,23276.0,3927.0,1552.0,,,,,,,,,,25.64,,,,,,,,,,,,,,,,,,,,,,,,,,,154701.250805353,
1996-06-01,,,,,,,,,2797.0,5628.0,9833.0,3087.0,,,,,,,,,,,,,,,,,,,,,1244873.55,119764.49,5227713.87,432860.23,,,1291509.08,2989826.57,9073387.63,,,,,,,,,,,,0.67,2.19,-0.27,1.09,,1.21,0.5,,,0.81,0.49,1.26,3.02,0.9,0.7,0.62,0.31,0.68,1.1,0.92,1.31,1.01,1.0,0.87,1.25,1.17,1.33,0.82,52.25,0.42,1.41,,1.02,1.22,1.57,1.54,1.41,1.08,0.41,,,,,,116101.0,3480.0,1562.0,758.0,26.0,0.154,262.0,192.0,226.0,525.0,72.0,157.0,72.0,104.83,2046.0,1993.0,359.0,88.0,,,,,,103635.0,20877.0,3074.0,1484.0,,,,,,,,,,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,148175.348184859,100.6
1996-07-01,,,,,,,,,2647.0,5547.0,9655.0,3033.0,,,,,,,,,,,,,,,,,,,,,1241643.92,119319.34,5230199.77,433070.36,,,1291806.84,2990082.29,9080009.39,,,,,,,,,,,,0.52,1.89,-0.02,0.29,,2.12,0.3,,,0.63,0.63,1.17,2.58,0.87,0.88,0.11,0.62,0.63,1.09,0.93,1.24,1.0,1.02,0.77,1.16,1.1,1.28,0.83,61.56,0.66,1.28,,1.35,1.09,0.76,0.75,1.31,1.21,1.59,,,,,,148804.0,3568.0,1559.0,754.0,26.0,0.154,295.0,208.0,225.0,525.0,77.0,169.0,79.0,109.9,2368.0,2353.0,451.0,107.0,,,,,,124362.0,24088.0,3441.0,1825.0,,,,,,,,,,23.28,,,,,,,,,,,,,,,,,,,,,,,,,,,154312.670350638,
1996-08-01,,,,,,,,,2796.0,5679.0,10390.0,3141.0,,,,,,,,,,,,,,,,,,,,,1236777.07,118823.02,5225280.35,428584.17,,,1290258.63,2991232.5,9083477.05,,,,,,,,,,,,-0.68,2.24,-0.04,-0.66,,1.18,0.48,,,-0.9,-0.01,1.14,1.25,0.31,-0.45,-0.5,0.24,-0.13,0.73,0.63,0.61,0.69,0.77,0.45,0.91,0.54,0.72,0.58,49.25,-0.01,1.33,,0.28,0.0,0.01,0.23,0.34,0.7,0.22,,,,,,156130.0,4099.0,1677.0,747.0,24.0,0.152,266.0,195.0,238.0,546.0,72.0,162.0,79.0,108.56,2700.0,2838.0,523.0,108.0,,,,,,121240.0,24917.0,4024.0,1471.0,,,,,,,,,,25.01,,,,,,,,,,,,,,,,,,,,,,,,,,,159502.905748978,
1996-09-01,,,,,,,,,2813.0,5769.0,10187.0,3184.0,,,,,,,,,,,,,,,,,,,,,1232029.97,118299.16,5216307.2,427974.64,,,1286639.94,2989627.12,9078138.58,,,,,,,,,,,,-0.58,1.54,-0.13,-0.48,,0.56,0.13,,,-0.99,-0.22,0.93,0.24,0.13,-0.7,-0.4,-0.1,-0.45,0.68,0.43,0.28,0.41,0.51,0.2,0.59,0.13,0.41,0.32,49.85,-0.25,1.05,,0.1,0.13,-0.35,0.22,0.07,0.09,0.35,,,,,,141503.0,3389.0,1168.0,785.0,26.0,0.162,294.0,195.0,218.0,589.0,72.0,163.0,80.0,109.38,3071.0,3301.0,582.0,124.0,,,,,,135062.0,25171.0,3686.0,1201.0,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,159231.774049065,104.31
1996-10-01,,,,,,,,,2881.0,5836.0,10031.0,3198.0,,,,,,,,,,,,,,,,,,,,,1227772.91,118026.62,5213151.74,425242.0,,,1282319.02,2987188.9,9073653.26,,,,,,,,,,,,0.11,1.47,-0.09,0.82,,0.27,-0.54,,,0.39,0.16,0.39,0.19,0.32,0.28,0.3,0.07,0.35,0.28,0.3,0.22,0.27,0.33,0.07,0.6,0.14,0.28,0.16,48.65,0.2,0.42,,0.19,0.22,0.18,0.26,0.58,0.17,0.37,,,,,,141467.0,4978.0,1774.0,799.0,26.0,0.169,305.0,197.0,247.0,515.0,73.0,165.0,82.0,111.57,3319.0,3613.0,625.0,129.0,,,,,,133768.0,25049.0,3758.0,848.0,,,,,,,,,,23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,170356.919929377,
