variable;sgs_code;factors
ind_extrativa;28504;['Global', 'Output']
ind_transformacao;28505;['Global', 'Output']
ind_bens_capital;28506;['Global', 'Output']
ind_bens_intermediarios;28507;['Global', 'Output']
ind_bens_consumo;28508;['Global', 'Output']
ind_construcao;28511;['Global', 'Output']
cons_energ_comercial;1402;['Global', 'Output']
cons_energ_indusrial;1404;['Global', 'Output']
pmc_ampliada; 28485;['Global', 'Output']
ibcbr_agro;29602;['Global', 'Output']
ibcbr_ind;29604;['Global', 'Output']
ibcbr_servicos;29606;['Global', 'Output']
icc_fecomercio;4393;['Global', 'Sentiment']
icea_fecomercio;4394;['Global', 'Sentiment']
ief_fecomercio;4395;['Global', 'Sentiment']
ics_fgv;20339;['Global', 'Sentiment']
isas_fgv;20340;['Global', 'Sentiment']
ies_fgv;20341;['Global', 'Sentiment']
caged_estoque;28784;['Global', 'Employment']
renda_media;24399;['Global', 'Employment']
tx_desemprego;24369;['Global', 'Employment']
ipca_12m;13522;['Global', 'Prices']
ipca15; 7478;['Global', 'Prices']
igpm;189;['Global', 'Prices']
igpdi;190;['Global', 'Prices']
incc;192;['Global', 'Prices']
ipam;7450;['Global', 'Prices']
pib;;['Global', 'Output']
